0,0.736
1,0.0888
2,0.9911
3,0.0287
4,0.6957
5,0.1103
6,0.3663
7,0.4329
8,0.7229
9,0.6915
10,0.388
11,0.3684
12,0.8188
13,0.4641
14,0.5696
15,0.7577
16,0.6472
17,0.9547
18,0.8976
19,0.5354
20,0.7012
21,0.9814
22,0.979
23,0.9823
24,0.7657
25,0.9808
26,0.096
27,0.9551
28,0.9839
29,0.9808
30,0.4917
31,0.7942
32,0.9715
33,0.3557
34,0.8143
35,0.9066
36,0.8784
37,0.8195
38,0.2269
39,0.4473
40,0.9666
41,0.522
42,0.9577
43,0.6645
44,0.7566
45,0.8967
46,0.9061
47,0.9862
48,0.6532
49,0.989
50,0.4967
51,0.8072
52,0.9224
53,0.8388
54,0.9578
55,0.9309
56,0.9643
57,0.2512
58,0.9619
59,0.9797
60,0.1116
61,0.8705
62,0.9736
63,0.8986
64,0.9632
65,0.9571
66,0.7313
67,0.9898
68,0.9582
69,0.9879
70,0.9724
71,0.9897
72,0.9757
73,0.8841
74,0.4554
75,0.979
76,0.635
77,0.9621
78,0.9383
79,0.9753
80,0.7541
81,0.9672
82,0.9396
83,0.9162
84,0.9629
85,0.9531
86,0.9667
87,0.3493
88,0.9801
89,0.9883
90,0.9548
91,0.9821
92,0.9037
93,0.3052
94,0.9539
95,0.9403
96,0.9157
97,0.9902
98,0.8098
99,0.9371
100,0.9327
101,0.9586
102,0.4892
103,0.9792
104,0.6444
105,0.9784
